"export-plots data (NetLogo 4.1.3)"
"RL_TAv2.nlogo"
"02/10/2012 13:38:25:804 +0800"

"MODEL SETTINGS"
"three-nine","two-eight","three-ten","q-learning-gamma","inst-road-view?","one-ten","average?","epsilon","one-eight","three-eight","cap-randomness","num-drivers","roads-capacity","tt-weight","avg?","travel-time-alpha","reward-by","travel-time-beta","route-weight-power","q-learning-alpha","two-nine","plot-capacity?","two-ten","one-nine"
"true","true","true","0.4","false","true","true","0.1","true","true","120","1001","130","0.4","true","1","""both""","2","1","0.5","true","true","true","true"

"""avg-travel-time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","58.8","0","44.2","true","""expected""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""actual""","true","0","1","0","49"
"""expected""","true","0","1","15","49"

"""actual""",,,,"""expected"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","40.149335434138486","0","true","0","32.892744085955705","15","true"
"1","40.68217958988112","0","true","1","32.89274408595571","15","true"
"2","40.564301553645265","0","true","2","32.89274408595567","15","true"
"3","35.908096199621674","0","true","3","32.89274408595567","15","true"
"4","35.39340011091835","0","true","4","32.89274408595571","15","true"
"5","33.33875631123949","0","true","5","32.89274408595573","15","true"
"6","33.587468330821885","0","true","6","32.8927440859557","15","true"
"7","32.379996799765735","0","true","7","32.8927440859557","15","true"
"8","33.41756630782796","0","true","8","32.89274408595572","15","true"
"9","32.827089711783294","0","true","9","32.892744085955684","15","true"
"10","33.03553828341894","0","true","10","32.89274408595575","15","true"
"11","31.091521241073657","0","true","11","32.892744085955705","15","true"
"12","32.092340722954745","0","true","12","32.892744085955684","15","true"
"13","32.03711547283115","0","true","13","32.89274408595571","15","true"
"14","32.38072072786253","0","true","14","32.892744085955734","15","true"
"15","30.892669497872518","0","true","15","32.89274408595569","15","true"
"16","31.592327256106113","0","true","16","32.892744085955684","15","true"
"17","30.97305626397236","0","true","17","32.892744085955684","15","true"
"18","31.17223576050357","0","true","18","32.89274408595571","15","true"
"19","30.596605436067495","0","true","19","32.89274408595567","15","true"
"20","33.45811121538646","0","true","20","32.89274408595571","15","true"
"21","31.513037604826863","0","true","21","32.892744085955684","15","true"
"22","30.91158065421443","0","true","22","32.8927440859557","15","true"
"23","31.78006576576234","0","true","23","32.892744085955705","15","true"
"24","33.22201796974163","0","true","24","32.8927440859557","15","true"
"25","31.9036780130351","0","true","25","32.89274408595567","15","true"
"26","31.57930914659692","0","true","26","32.89274408595566","15","true"
"27","31.263104687055804","0","true","27","32.89274408595571","15","true"
"28","31.1609546552695","0","true","28","32.8927440859557","15","true"
"29","30.42311800002771","0","true","29","32.89274408595566","15","true"
"30","30.390993396711185","0","true","30","32.89274408595566","15","true"
"31","30.460706104636845","0","true","31","32.892744085955705","15","true"
"32","30.064216826712684","0","true","32","32.89274408595569","15","true"
"33","30.27671130207408","0","true","33","32.892744085955684","15","true"
"34","29.963084874041726","0","true","34","32.89274408595567","15","true"
"35","29.705243611475733","0","true","35","32.89274408595566","15","true"
"36","29.84566686813425","0","true","36","32.892744085955655","15","true"
"37","30.42092924563865","0","true","37","32.8927440859557","15","true"
"38","29.578711029640974","0","true","38","32.89274408595569","15","true"
"39","30.902154864843933","0","true","39","32.8927440859557","15","true"
"40","29.91320949950174","0","true","40","32.89274408595564","15","true"
"41","30.413537720614734","0","true","41","32.89274408595569","15","true"
"42","29.803108676816677","0","true","42","32.89274408595571","15","true"
"43","30.18609677555087","0","true","43","32.89274408595569","15","true"
"44","29.53556677522548","0","true","44","32.89274408595569","15","true"
"45","29.975196030149345","0","true","45","32.892744085955705","15","true"
"46","29.910545879148778","0","true","46","32.89274408595573","15","true"
"47","29.68403844036826","0","true","47","32.892744085955705","15","true"
"48","29.73250856135263","0","true","48","32.892744085955655","15","true"
"49","29.751008681909127","0","true","49","32.89274408595567","15","true"

"""drivers-per-road"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"1","25","0","257","true","""capacity""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""proportional""","true","1","1","15","20"
"""actual""","true","1","1","0","11"
"""capacity""","true","2","1","55","7.5"

"""proportional""",,,,"""actual""",,,,"""capacity"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"8","195.67","15","true","17","170.70000000000002","0","true","8.5","187","55","true"
"18","136.10746268656717","15","true","4","93.00000000000003","0","true","16.5","192","55","true"
"16","163.32895522388057","15","true","5","158.98000000000002","0","true","14.5","198","55","true"
"7","167.41818181818184","15","true","21","130.67999999999998","0","true","19.5","220","55","true"
