"BehaviorSpace results (NetLogo 4.1.3)"
"RL_TAv2.nlogo"
"alpha-varying-light-10times-6x6"
"06/13/2012 18:27:49:272 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10","11","11","11","11","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","15","16","16","16","16","17","17","17","17","18","18","18","18","19","19","19","19","20","20","20","20","21","21","21","21","22","22","22","22","23","23","23","23"
"decay","0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,,"0.95499259",,,
"q-learning-gamma","0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,,"0.4",,,
"plot-capacity?","true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,
"num-drivers","1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,,"1001",,,
"avg?","true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,
"q-learning-alpha","0.1",,,,"0.1",,,,"0.1",,,,"0.1",,,,"0.1",,,,"0.1",,,,"0.1",,,,"0.1",,,,"0.1",,,,"0.1",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.30000000000000004",,,,"0.30000000000000004",,,,"0.30000000000000004",,,
"roads-capacity","130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,,"130",,,
"epsilon","1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,
"tt-weight","1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,
